global_step,correct,similar,incorrect,train_loss,eval_loss
1413,11,17,13,7.519125938415527e-05,-9.384975961538462
2000,10,18,13,2.86102294921875e-05,-9.698798076923078
2826,14,12,15,4.2319297790527344e-05,-8.906610576923077
4000,17,11,13,1.1056661605834961e-05,-9.50733173076923
4239,17,10,14,7.471442222595215e-05,-9.439423076923077
5652,19,7,15,3.904104232788086e-06,-9.857932692307692
6000,16,13,12,0.00024421513080596924,-9.618149038461539
7065,17,12,12,0.010935366153717041,-10.336298076923077
8000,16,11,14,3.874301910400391e-06,-10.063822115384616
8478,16,13,12,4.798173904418945e-06,-9.981850961538461
9891,20,10,11,8.642673492431641e-07,-10.640024038461538
10000,19,10,12,1.087784767150879e-06,-10.537139423076923
11304,18,10,13,2.3573637008666992e-05,-9.966225961538461
12000,17,10,14,1.087784767150879e-06,-10.743389423076923
12717,16,13,12,3.248453140258789e-06,-10.088701923076924
14000,17,12,12,1.9222497940063477e-06,-10.19170673076923
14130,17,11,13,0.0031405389308929443,-10.261057692307693
15543,17,13,11,4.112720489501953e-06,-10.389663461538461
16000,16,13,12,6.854534149169922e-07,-10.453004807692308
